ympts_id	original_id	type	form_1	tone_1	gloss_1	form_2	tone_2	gloss_2	form_3	tone_3	gloss_3	minimal_diff	three_way	corpus_source	native_verified	neutralization_risk	verification_note
YMPTS-A-001	B3-A-008	A	ro	M	to pain severely; to ache; to cultivate; to drip	ró	H	to sound; to place in an erect position; excite	rò	L	to tell; to imagine; to think; to think deeply; trouble	tone	Y	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-002	B3-A-009	A	tu	M	to expectorate; to throw out; to pluck up	tú	H	to loosen; to untie; to break; to scatter	tù	L	to soothe; to reconcile; to gather together	tone	Y	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-003	B3-A-011	A	mu	M	to drink; to take; to ingest (mid)	mú	H	to catch; to seize; to bring (high)	mù	L	to sink; to disappear; to be immersed in water	tone	Y	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-004	B3-A-014	A	ri	M	never; at no time; formerly	rí	H	to see; to find (high, standard)	rì	L	to sink; to dip into (low)	tone	Y	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-005	B3-A-015	A	ha	M	to scratch; to bruise; indeed	há	H	no indeed	hà	L	amazement; to lock	tone	Y	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-006	B3-A-024	A	pa	M	to kill; to extinguish (mid)	pá	H	to be bald; to be barren				tone	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-007	B3-A-026	A	ya	M	ready; soon; to give way; to separate	yá	H	to tear; lacerate; secede				tone	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-008	B3-A-028	A	sa	M	awhile; for a time	sá	H	to air; to flee; to expose to the sun to dry; for				tone	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-009	B3-A-029	A	ètú	LH	a type of deer	ẹtù	L	gunpowder; guinea fowl; a type of bird				tone	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
YMPTS-A-010	B3-A-033	A	ku	M	suddenly	kù	L	to remain; leftover; remainder (low)				tone	N	batch3	1	N	ANT-01:Q1=YES,Q2=YES | ANT-02:Q1=YES,Q2=YES
